,SPX
2006-12-04 0:00,1409.12
2006-12-05 0:00,1414.76
2006-12-06 0:00,1412.9
2006-12-07 0:00,1407.29
2006-12-08 0:00,1409.84
2006-12-11 0:00,1413.04
2006-12-12 0:00,1411.56
2006-12-13 0:00,1413.21
2006-12-14 0:00,1425.49
2006-12-15 0:00,1427.09
2006-12-18 0:00,1422.48
2006-12-19 0:00,1425.55
2006-12-20 0:00,1423.53
2006-12-21 0:00,1418.3
2006-12-22 0:00,1410.76
2006-12-26 0:00,1416.9
2006-12-27 0:00,1426.84
2006-12-28 0:00,1424.73
2006-12-29 0:00,1418.3
2007-01-03 0:00,1416.6
2007-01-04 0:00,1418.34
2007-01-05 0:00,1409.71
2007-01-08 0:00,1412.84
2007-01-09 0:00,1412.11
2007-01-10 0:00,1414.85
2007-01-11 0:00,1423.82
2007-01-12 0:00,1430.73
2007-01-16 0:00,1431.9
2007-01-17 0:00,1430.62
2007-01-18 0:00,1426.37
2007-01-19 0:00,1430.5
2007-01-22 0:00,1422.95
2007-01-23 0:00,1427.99
2007-01-24 0:00,1440.13
2007-01-25 0:00,1423.9
2007-01-26 0:00,1422.18
2007-01-29 0:00,1420.62
2007-01-30 0:00,1428.82
2007-01-31 0:00,1438.24
2007-02-01 0:00,1445.94
2007-02-02 0:00,1448.39
2007-02-05 0:00,1446.99
2007-02-06 0:00,1448
2007-02-07 0:00,1450.02
2007-02-08 0:00,1448.31
2007-02-09 0:00,1438.06
2007-02-12 0:00,1433.37
2007-02-13 0:00,1444.26
2007-02-14 0:00,1455.3
2007-02-15 0:00,1456.81
2007-02-16 0:00,1455.54
2007-02-20 0:00,1459.68
2007-02-21 0:00,1457.63
2007-02-22 0:00,1456.38
2007-02-23 0:00,1451.19
2007-02-26 0:00,1449.37
2007-02-27 0:00,1399.04
2007-02-28 0:00,1406.82
2007-03-01 0:00,1403.17
2007-03-02 0:00,1387.17
2007-03-05 0:00,1374.12
2007-03-06 0:00,1395.41
2007-03-07 0:00,1391.97
2007-03-08 0:00,1401.89
2007-03-09 0:00,1402.84
2007-03-12 0:00,1406.6
2007-03-13 0:00,1377.95
2007-03-14 0:00,1387.17
2007-03-15 0:00,1392.28
2007-03-16 0:00,1386.95
2007-03-19 0:00,1402.06
2007-03-20 0:00,1410.94
2007-03-21 0:00,1435.04
2007-03-22 0:00,1434.54
2007-03-23 0:00,1436.11
2007-03-26 0:00,1437.5
2007-03-27 0:00,1428.61
2007-03-28 0:00,1417.23
2007-03-29 0:00,1422.53
2007-03-30 0:00,1420.86
