사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
Sep-19,1호선,150,서울역,1425056 ,1352776 ,210484 ,203270 ,2019-10-03 12:45
Sep-19,1호선,151,시청,618215 ,628580 ,104482 ,105584 ,2019-10-03 12:45
Sep-19,1호선,152,종각,1042905 ,1010405 ,151384 ,142575 ,2019-10-03 12:45
Sep-19,1호선,153,종로3가,587524 ,548967 ,357984 ,334959 ,2019-10-03 12:45
Sep-19,1호선,154,종로5가,481849 ,495179 ,260406 ,249585 ,2019-10-03 12:45
Sep-19,1호선,155,동대문,306897 ,347606 ,128585 ,133065 ,2019-10-03 12:45
Sep-19,1호선,156,신설동,340193 ,332610 ,117901 ,112038 ,2019-10-03 12:45
Sep-19,1호선,157,제기동,264818 ,256270 ,332466 ,356572 ,2019-10-03 12:45
Sep-19,1호선,158,청량리(서울시립대입구),425923 ,437537 ,311691 ,320377 ,2019-10-03 12:45
Sep-19,1호선,159,동묘앞,171418 ,185901 ,145778 ,147766 ,2019-10-03 12:45
Sep-19,2호선,201,시청,650250 ,609916 ,58994 ,53582 ,2019-10-03 12:45
Sep-19,2호선,202,을지로입구,1335420 ,1336246 ,113731 ,105375 ,2019-10-03 12:45
Sep-19,2호선,203,을지로3가,565726 ,561529 ,86211 ,85275 ,2019-10-03 12:45
Sep-19,2호선,204,을지로4가,267183 ,270762 ,84437 ,81628 ,2019-10-03 12:45
Sep-19,2호선,205,동대문역사문화공원,461166 ,539068 ,55634 ,59669 ,2019-10-03 12:45
Sep-19,2호선,206,신당,333089 ,341851 ,98569 ,100734 ,2019-10-03 12:45
Sep-19,2호선,207,상왕십리,352174 ,330559 ,66047 ,66176 ,2019-10-03 12:45
Sep-19,2호선,208,왕십리(성동구청),516223 ,411035 ,56989 ,48087 ,2019-10-03 12:45
Sep-19,2호선,209,한양대,349837 ,408869 ,14566 ,15622 ,2019-10-03 12:45
Sep-19,2호선,210,뚝섬,483220 ,518755 ,60797 ,61327 ,2019-10-03 12:45
Sep-19,2호선,211,성수,704820 ,775204 ,101162 ,102296 ,2019-10-03 12:45
Sep-19,2호선,212,건대입구,1149300 ,1270583 ,93845 ,96929 ,2019-10-03 12:45
Sep-19,2호선,213,구의(광진구청),586406 ,556948 ,103966 ,104928 ,2019-10-03 12:45
Sep-19,2호선,214,강변(동서울터미널),1151211 ,1144489 ,141369 ,137983 ,2019-10-03 12:45
Sep-19,2호선,215,잠실나루,362822 ,352666 ,86146 ,86966 ,2019-10-03 12:45
Sep-19,2호선,216,잠실(송파구청),2161212 ,2093299 ,199758 ,190373 ,2019-10-03 12:45
Sep-19,2호선,217,잠실새내,582055 ,590299 ,107923 ,107874 ,2019-10-03 12:45
Sep-19,2호선,218,종합운동장,320840 ,368926 ,54750 ,57269 ,2019-10-03 12:45
Sep-19,2호선,219,삼성(무역센터),1471726 ,1515737 ,116249 ,109457 ,2019-10-03 12:45
Sep-19,2호선,220,선릉,1287492 ,1153211 ,204140 ,180555 ,2019-10-03 12:45
Sep-19,2호선,221,역삼,1145036 ,1293648 ,155071 ,157892 ,2019-10-03 12:45
