사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2019-09,1호선,0150,서울역,"1,635,540","1,556,046",2019-10-03 12:45:38
2019-09,1호선,0151,시청,"722,697","734,164",2019-10-03 12:45:38
2019-09,1호선,0152,종각,"1,194,289","1,152,980",2019-10-03 12:45:38
2019-09,1호선,0153,종로3가,"945,508","883,926",2019-10-03 12:45:38
2019-09,1호선,0154,종로5가,"742,255","744,764",2019-10-03 12:45:38
2019-09,1호선,0155,동대문,"435,482","480,671",2019-10-03 12:45:38
2019-09,1호선,0156,신설동,"458,094","444,648",2019-10-03 12:45:38
2019-09,1호선,0157,제기동,"597,284","612,842",2019-10-03 12:45:38
2019-09,1호선,0158,청량리(서울시립대입구),"737,614","757,914",2019-10-03 12:45:38
2019-09,1호선,0159,동묘앞,"317,196","333,667",2019-10-03 12:45:38
2019-09,2호선,0201,시청,"709,244","663,498",2019-10-03 12:45:38
2019-09,2호선,0202,을지로입구,"1,449,151","1,441,621",2019-10-03 12:45:38
2019-09,2호선,0203,을지로3가,"651,937","646,804",2019-10-03 12:45:38
2019-09,2호선,0204,을지로4가,"351,620","352,390",2019-10-03 12:45:38
2019-09,2호선,0205,동대문역사문화공원,"516,800","598,737",2019-10-03 12:45:38
2019-09,2호선,0206,신당,"431,658","442,585",2019-10-03 12:45:38
2019-09,2호선,0207,상왕십리,"418,221","396,735",2019-10-03 12:45:38
2019-09,2호선,0208,왕십리(성동구청),"573,212","459,122",2019-10-03 12:45:38
2019-09,2호선,0209,한양대,"364,403","424,491",2019-10-03 12:45:38
2019-09,2호선,0210,뚝섬,"544,017","580,082",2019-10-03 12:45:38
2019-09,2호선,0211,성수,"805,982","877,500",2019-10-03 12:45:38
2019-09,2호선,0212,건대입구,"1,243,145","1,367,512",2019-10-03 12:45:38
2019-09,2호선,0213,구의(광진구청),"690,372","661,876",2019-10-03 12:45:38
2019-09,2호선,0214,강변(동서울터미널),"1,292,580","1,282,472",2019-10-03 12:45:38
2019-09,2호선,0215,잠실나루,"448,968","439,632",2019-10-03 12:45:38
2019-09,2호선,0216,잠실(송파구청),"2,360,970","2,283,672",2019-10-03 12:45:38
2019-09,2호선,0217,잠실새내,"689,978","698,173",2019-10-03 12:45:38
2019-09,2호선,0218,종합운동장,"375,590","426,195",2019-10-03 12:45:38
2019-09,2호선,0219,삼성(무역센터),"1,587,975","1,625,194",2019-10-03 12:45:38
2019-09,2호선,0220,선릉,"1,491,632","1,333,766",2019-10-03 12:45:38
2019-09,2호선,0221,역삼,"1,300,107","1,451,540",2019-10-03 12:45:38
2019-09,2호선,0222,강남,"2,689,953","2,756,416",2019-10-03 12:45:38
2019-09,2호선,0223,교대(법원.검찰청),"1,041,579","1,188,939",2019-10-03 12:45:38
2019-09,2호선,0224,서초,"710,274","709,217",2019-10-03 12:45:38
2019-09,2호선,0225,방배,"580,682","598,748",2019-10-03 12:45:38
2019-09,2호선,0226,사당,"1,234,320","1,352,958",2019-10-03 12:45:38
2019-09,2호선,0227,낙성대,"861,791","830,624",2019-10-03 12:45:38
2019-09,2호선,0228,서울대입구(관악구청),"1,518,655","1,463,006",2019-10-03 12:45:38
2019-09,2호선,0229,봉천,"729,274","670,330",2019-10-03 12:45:38
2019-09,2호선,0230,신림,"1,992,106","1,928,554",2019-10-03 12:45:38
2019-09,2호선,0231,신대방,"835,081","794,957",2019-10-03 12:45:38
2019-09,2호선,0232,구로디지털단지,"1,767,944","1,767,266",2019-10-03 12:45:38
2019-09,2호선,0233,대림(구로구청),"842,129","868,649",2019-10-03 12:45:38
2019-09,2호선,0234,신도림,"1,682,411","1,676,688",2019-10-03 12:45:38
2019-09,2호선,0235,문래,"564,770","573,103",2019-10-03 12:45:38
2019-09,2호선,0236,영등포구청,"623,029","630,434",2019-10-03 12:45:38
2019-09,2호선,0237,당산,"642,552","708,335",2019-10-03 12:45:38
2019-09,2호선,0238,합정,"957,961","1,028,667",2019-10-03 12:45:38
2019-09,2호선,0239,홍대입구,"2,228,513","2,402,270",2019-10-03 12:45:38
2019-09,2호선,0240,신촌,"1,345,741","1,382,022",2019-10-03 12:45:38
2019-09,2호선,0241,이대,"590,596","630,730",2019-10-03 12:45:38
2019-09,2호선,0242,아현,"317,634","306,040",2019-10-03 12:45:38
2019-09,2호선,0243,충정로(경기대입구),"312,678","332,201",2019-10-03 12:45:38
2019-09,2호선,0244,용답,"83,553","85,189",2019-10-03 12:45:38
2019-09,2호선,0245,신답,"46,033","50,228",2019-10-03 12:45:38
2019-09,2호선,0246,신설동,"116,732","112,151",2019-10-03 12:45:38
2019-09,2호선,0247,도림천,"34,755","37,056",2019-10-03 12:45:38
2019-09,2호선,0248,양천구청,"211,309","220,188",2019-10-03 12:45:38
2019-09,2호선,0249,신정네거리,"289,403","298,386",2019-10-03 12:45:38
2019-09,2호선,0250,용두(동대문구청),"70,565","72,754",2019-10-03 12:45:38
2019-09,3호선,0309,지축,"38,736","41,051",2019-10-03 12:45:38
2019-09,3호선,0310,구파발,"650,325","613,526",2019-10-03 12:45:38
2019-09,3호선,0311,연신내,"1,202,262","1,133,122",2019-10-03 12:45:38
2019-09,3호선,0312,불광,"542,642","592,720",2019-10-03 12:45:38
2019-09,3호선,0313,녹번,"408,425","357,846",2019-10-03 12:45:38
2019-09,3호선,0314,홍제,"563,418","537,075",2019-10-03 12:45:38
2019-09,3호선,0315,무악재,"118,014","123,715",2019-10-03 12:45:38
